# Schema: raw_string,parenthetical_code,canonical_name,looks_like_distributor,inferred_brands,notes
# Source: Derived from all 76 distinct Part_Manuf values in /data/sample_input.csv
# Rule: Entries with looks_like_distributor=true require Part_Desc fallback for brand extraction per AGENTS.md
raw_string,parenthetical_code,canonical_name,looks_like_distributor,inferred_brands,notes
ACG Brands (1154),1154,Alliance Consumer Group (ACG Brands),false,"NEBO, TRUE, Skeeter Hawk, iPROTEC, ACG Brands",OEM portable lighting and consumer tools
Senco Products Inc (4650),4650,"Kyocera Senco Industrial Tools, Inc.",false,"SENCO, Senco",OEM pneumatic/cordless fastening tools and collated fasteners
National Nail Corp (7439),7439,National Nail Corp.,true,"Paslode, CAMO, Pro-Fit",Distributor and manufacturer of building fasteners and tools
Prebena (PREBE),PREBE,PREBENA Fastening Systems,false,Prebena,"OEM pneumatic fasteners, staplers, and nailers"
Marshalltown Trowel (5155),5155,Marshalltown Company,false,"Marshalltown, Wal-Board Tools, Wal-Board","OEM drywall, masonry, and concrete tools"
Ohio Firewatch Protection Inc (HOLFS),HOLFS,Ohio Firewatch Protection Inc.,true,"Amerex, Buckeye, Lith Fire Extinguishers, Lith",Fire protection service provider and distributor
First Alert - B R K Brands (2754),2754,Resideo Technologies (First Alert / BRK),false,"First Alert, BRK","OEM smoke, CO, and fire safety devices"
Malco Prod (2370),2370,"Malco Products, SBC",false,Malco,OEM specialized sheet metal hand tools and snips
King Canada Inc (KINCA),KINCA,King Canada Inc.,false,"King Canada, King Industrial",OEM woodworking and metalworking machinery
Woodstock Intl (3658),3658,"Woodstock International, Inc.",false,"Grizzly Industrial, Grizzly, Shop Fox, Woodstock",OEM woodworking machinery and accessories
3 M Co (5293),5293,3M Company,false,"3M, Scotch, Tartan, Cubitron, Cubitron II, Stikit, Scotch-Brite","OEM abrasives, adhesives, and electrical tapes"
Emseal Joint Systems Ltd (EMSJO),EMSJO,Sika Emseal (Emseal Joint Systems),false,"Emseal, Sika",OEM architectural expansion joints and sealants
V & V Appliance Parts Inc (VVAPP),VVAPP,V&V Appliance Parts Inc.,true,"Alliance Laundry, Speed Queen, Whirlpool Parts, Speed Queen",Appliance parts wholesale distributor
A J Manufacturing Inc (AJMAN),AJMAN,"A.J. Manufacturing, Inc.",false,"A.J. Manufacturing, AJ Manufacturing",OEM commercial and residential doors/access panels
Huber Eng Wood LLC (3158),3158,Huber Engineered Woods LLC,false,"ZIP System, AdvanTech, Huber",OEM engineered wood panels and moisture barriers
MillerTech Energy Solutions (MILTE),MILTE,MillerTech Energy Solutions LLC,false,MillerTech,OEM lithium batteries and solar energy equipment
Metalmark Industrial Inc (METIN),METIN,Metalmark Industrial Inc.,true,"Dewalt, StealthMounts",Distributor and specialty accessory maker
Thomas & Betts (7405),7405,ABB Installation Products Inc. (Thomas & Betts),false,"Thomas & Betts, Carlon, Steel City","OEM electrical fittings, boxes, and connectors"
Cooper Wiring Devices (3560),3560,Eaton (Cooper Wiring Devices),false,"Arrow Hart, Eaton, Cooper Wiring","OEM switches, receptacles, and wall plates"
Lithonia Lighting (2776),2776,Acuity Brands Lighting (Lithonia),false,"Lithonia Lighting, Acuity Brands, Lithonia",OEM commercial and residential luminaires
Keystone (5702),5702,Keystone Technologies,false,"Keystone, SmartDrive","OEM LED lamps, drivers, and fixtures"
Maxsa Innovations (MAXIN),MAXIN,MAXSA Innovations,false,"MAXSA Innovations, MAXSA",OEM solar security lights and automotive accessories
Streamlight (7277),7277,"Streamlight, Inc.",false,Streamlight,"OEM professional tactical, weapon, and work lights"
Police Security (9470),9470,Police Security Flashlights,false,Police Security,"OEM flashlights, headlamps, and batteries"
Woods Wire Southwire (7579),7579,Southwire (Woods),false,"Woods, Southwire","OEM extension cords, power strips, and wire"
Sabre (9195),9195,Security Equipment Corp. (SABRE),false,"SABRE, Sabre","OEM personal safety alarms, pepper sprays, and driveway alerts"
Radians (7363),7363,"Radians, Inc.",false,"Radians, DEWALT Safety",OEM personal protective equipment (PPE)
Amana Tool Corp (AMATO),AMATO,Amana Tool Corporation,false,"Amana Tool, Amana","OEM industrial cutting tools, CNC router bits, and saw blades"
Irwin Industrial Tools (5863),5863,Stanley Black & Decker (IRWIN),false,"IRWIN, Vise-Grip, Marathon, Quick-Grip, Irwin","OEM hand tools, marking tools, and power tool accessories"
J&G Machinery (JGMAC),JGMAC,J&G Machinery Inc.,true,"Maggi Technology, Steff, Cantek, Maggi",Distributor / Dealer of woodworking machinery and feeders
Rheem Manufacturing (FRIG),,Rheem Manufacturing,false,"FRIGIDAIRE®, Frigidaire, Rheem","OEM HVAC, water heating, and appliance manufacturer"
Whirlpool Corporation (WHIRL),,Whirlpool Corporation,false,"Whirlpool®, Whirlpool, KitchenAid, Maytag, Amana Appliance",OEM major home appliances
GE Appliances (GEAPP),,GE Appliances (Haier),false,"GE Appliances, GE, Café, Cafe, Monogram, Haier, Hotpoint",OEM major appliances and kitchen equipment
Lutron Electronics (LUTRO),,"Lutron Electronics Co., Inc.",false,"Lutron, Maestro, Diva, Caseta",OEM lighting control and shading systems
The AZEK Company (AZEK),,The AZEK Company Inc.,false,"Azek, TimberTech",OEM premium building materials and decking
Trex Company (TREX),,"Trex Company, Inc.",false,"Trex, Transcend, Enhance, Select",OEM composite decking and railing
Owens Corning (OWCOR),,Owens Corning,false,"Owens Corning, OC, Duration","OEM insulation, roofing, and fiberglass composites"
Illinois Tool Works (PASLO),,Illinois Tool Works Inc. (Paslode),false,"Paslode, ITW",OEM industrial fastening systems
LG Electronics (LGELE),,LG Electronics USA,false,"LG, LG Signature, ThinQ",OEM consumer electronics and home appliances
Protecto Wrap (PROWR),,Protecto Wrap Company,false,"Protecto Wrap, Protecto",OEM waterproofing membranes and flashing tapes
